"tf.Tensor(21.583221, shape=(), dtype=float32)","tf.Tensor(20.37565, shape=(), dtype=float32)","tf.Tensor(19.354141, shape=(), dtype=float32)","tf.Tensor(19.885767, shape=(), dtype=float32)","tf.Tensor(21.053495, shape=(), dtype=float32)","tf.Tensor(20.740494, shape=(), dtype=float32)","tf.Tensor(34.5758, shape=(), dtype=float32)","tf.Tensor(18.007206, shape=(), dtype=float32)","tf.Tensor(20.111877, shape=(), dtype=float32)","tf.Tensor(19.428461, shape=(), dtype=float32)"
"tf.Tensor(19.436302, shape=(), dtype=float32)","tf.Tensor(19.12834, shape=(), dtype=float32)","tf.Tensor(19.377804, shape=(), dtype=float32)","tf.Tensor(20.793533, shape=(), dtype=float32)","tf.Tensor(20.67516, shape=(), dtype=float32)","tf.Tensor(20.199028, shape=(), dtype=float32)","tf.Tensor(19.445095, shape=(), dtype=float32)","tf.Tensor(18.710316, shape=(), dtype=float32)","tf.Tensor(32.758747, shape=(), dtype=float32)","tf.Tensor(19.65579, shape=(), dtype=float32)"
"tf.Tensor(18.141174, shape=(), dtype=float32)","tf.Tensor(19.185062, shape=(), dtype=float32)","tf.Tensor(19.435799, shape=(), dtype=float32)","tf.Tensor(31.408272, shape=(), dtype=float32)","tf.Tensor(19.41622, shape=(), dtype=float32)","tf.Tensor(19.782393, shape=(), dtype=float32)","tf.Tensor(17.889433, shape=(), dtype=float32)","tf.Tensor(19.056086, shape=(), dtype=float32)","tf.Tensor(19.600058, shape=(), dtype=float32)","tf.Tensor(19.09636, shape=(), dtype=float32)"
"tf.Tensor(19.051184, shape=(), dtype=float32)","tf.Tensor(19.147024, shape=(), dtype=float32)","tf.Tensor(18.363142, shape=(), dtype=float32)","tf.Tensor(20.689272, shape=(), dtype=float32)","tf.Tensor(20.452152, shape=(), dtype=float32)","tf.Tensor(32.94336, shape=(), dtype=float32)","tf.Tensor(19.56729, shape=(), dtype=float32)","tf.Tensor(19.04312, shape=(), dtype=float32)","tf.Tensor(20.762611, shape=(), dtype=float32)","tf.Tensor(20.34411, shape=(), dtype=float32)"
"tf.Tensor(21.215408, shape=(), dtype=float32)","tf.Tensor(21.590645, shape=(), dtype=float32)","tf.Tensor(38.047886, shape=(), dtype=float32)","tf.Tensor(23.4576, shape=(), dtype=float32)","tf.Tensor(22.435265, shape=(), dtype=float32)","tf.Tensor(21.226612, shape=(), dtype=float32)","tf.Tensor(20.861427, shape=(), dtype=float32)","tf.Tensor(24.895884, shape=(), dtype=float32)","tf.Tensor(22.65019, shape=(), dtype=float32)","tf.Tensor(20.39205, shape=(), dtype=float32)"
"tf.Tensor(18.213552, shape=(), dtype=float32)","tf.Tensor(18.305178, shape=(), dtype=float32)","tf.Tensor(17.555763, shape=(), dtype=float32)","tf.Tensor(19.779617, shape=(), dtype=float32)","tf.Tensor(19.552923, shape=(), dtype=float32)","tf.Tensor(29.901207, shape=(), dtype=float32)","tf.Tensor(18.706966, shape=(), dtype=float32)","tf.Tensor(18.205843, shape=(), dtype=float32)","tf.Tensor(19.849733, shape=(), dtype=float32)","tf.Tensor(19.449633, shape=(), dtype=float32)"
"tf.Tensor(18.571745, shape=(), dtype=float32)","tf.Tensor(20.037914, shape=(), dtype=float32)","tf.Tensor(21.272743, shape=(), dtype=float32)","tf.Tensor(21.011229, shape=(), dtype=float32)","tf.Tensor(21.424467, shape=(), dtype=float32)","tf.Tensor(22.436749, shape=(), dtype=float32)","tf.Tensor(17.890877, shape=(), dtype=float32)","tf.Tensor(33.221706, shape=(), dtype=float32)","tf.Tensor(19.438704, shape=(), dtype=float32)","tf.Tensor(20.043669, shape=(), dtype=float32)"
"tf.Tensor(20.670553, shape=(), dtype=float32)","tf.Tensor(20.343037, shape=(), dtype=float32)","tf.Tensor(20.608345, shape=(), dtype=float32)","tf.Tensor(22.113974, shape=(), dtype=float32)","tf.Tensor(21.988085, shape=(), dtype=float32)","tf.Tensor(21.481716, shape=(), dtype=float32)","tf.Tensor(20.679907, shape=(), dtype=float32)","tf.Tensor(19.898466, shape=(), dtype=float32)","tf.Tensor(34.839012, shape=(), dtype=float32)","tf.Tensor(20.903982, shape=(), dtype=float32)"
"tf.Tensor(17.963877, shape=(), dtype=float32)","tf.Tensor(17.679245, shape=(), dtype=float32)","tf.Tensor(18.846209, shape=(), dtype=float32)","tf.Tensor(19.218288, shape=(), dtype=float32)","tf.Tensor(19.108885, shape=(), dtype=float32)","tf.Tensor(18.66882, shape=(), dtype=float32)","tf.Tensor(17.972002, shape=(), dtype=float32)","tf.Tensor(17.292889, shape=(), dtype=float32)","tf.Tensor(29.264605, shape=(), dtype=float32)","tf.Tensor(18.166737, shape=(), dtype=float32)"
"tf.Tensor(17.67234, shape=(), dtype=float32)","tf.Tensor(31.383059, shape=(), dtype=float32)","tf.Tensor(18.991205, shape=(), dtype=float32)","tf.Tensor(19.540668, shape=(), dtype=float32)","tf.Tensor(19.763453, shape=(), dtype=float32)","tf.Tensor(18.46494, shape=(), dtype=float32)","tf.Tensor(18.713684, shape=(), dtype=float32)","tf.Tensor(19.048132, shape=(), dtype=float32)","tf.Tensor(19.058151, shape=(), dtype=float32)","tf.Tensor(18.00192, shape=(), dtype=float32)"
"tf.Tensor(28.874853, shape=(), dtype=float32)","tf.Tensor(16.241192, shape=(), dtype=float32)","tf.Tensor(16.579746, shape=(), dtype=float32)","tf.Tensor(17.076208, shape=(), dtype=float32)","tf.Tensor(17.500782, shape=(), dtype=float32)","tf.Tensor(16.403706, shape=(), dtype=float32)","tf.Tensor(17.57605, shape=(), dtype=float32)","tf.Tensor(15.829918, shape=(), dtype=float32)","tf.Tensor(16.84384, shape=(), dtype=float32)","tf.Tensor(17.64519, shape=(), dtype=float32)"
